statement_id,domain,stem_no,stem_name,statement_text_en,statement_type,median,p30,p70,interpretation,soq_option,soq_pct,decision_item_id,scenario_flags,expected_system_action,source_locator
Q85a,treatment_planning,33,Planning focal radiotherapy boost - unifocal lesion,"In patients with a unifocal visible MRI lesion, targeted biopsy (Bx) ONLY is informative enough for focal radiotherapy boost planning.",likert,8,7,8,Consensus agree,,,d_tp_focal_boost_tbx_plbx,unifocal|intent_focal_boost,endorse,Table 3 (Q85a)
Q85,treatment_planning,33,Planning focal radiotherapy boost - unifocal lesion,"In patients with a unifocal visible MRI lesion, targeted biopsy (Bx) + Bx of the area around the ROI only is informative enough for focal radiotherapy boost planning.",likert,7,7,7,Consensus agree,,,d_tp_focal_boost_tbx_plbx,unifocal|intent_focal_boost,endorse,Table 3 (Q85)
Q86a,treatment_planning,33,Planning focal radiotherapy boost - unifocal lesion,"In patients with unifocal visible MRI lesion, targeted biopsy (Bx) + contralateral Bx should be performed for focal radiotherapy boost planning.",likert,4,2,5,Consensus to neither agree nor disagree,,,d_tp_focal_boost_tbx_plbx,unifocal|intent_focal_boost,conditional,Table 3 (Q86a)
Q86,treatment_planning,33,Planning focal radiotherapy boost - unifocal lesion,"In patients with unifocal visible MRI lesion, targeted biopsy (Bx) + Bx of the area around the ROI + contralateral systematic Bx should be performed for focal radiotherapy boost planning.",likert,4,3,4,Consensus to neither agree nor disagree,,,d_tp_focal_boost_tbx_plbx,unifocal|intent_focal_boost,conditional,Table 3 (Q86)
Q87,treatment_planning,33,Planning focal radiotherapy boost - unifocal lesion,"In patients with unifocal visible MRI lesion, targeted biopsy (Bx) + bilateral systematic Bx should be performed for focal radiotherapy boost planning.",likert,3,2,3,Consensus disagree,,,d_tp_reject_adding_systematic_universal,unifocal|intent_focal_boost,against,Table 3 (Q87)
Q88a,treatment_planning,34,Planning focal radiotherapy boost - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) ONLY is informative enough for focal radiotherapy boost planning.",likert,7,7,7,Consensus agree,,,d_tp_focal_boost_tbx_plbx,multifocal_bilateral|intent_focal_boost,endorse,Table 3 (Q88a)
Q88,treatment_planning,34,Planning focal radiotherapy boost - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) + Bx of the area around the ROI only is informative enough for focal radiotherapy boost planning.",likert,8,8,8,Consensus agree,,,d_tp_focal_boost_tbx_plbx,multifocal_bilateral|intent_focal_boost,endorse,Table 3 (Q88)
Q89a,treatment_planning,34,Planning focal radiotherapy boost - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) + contralateral Bx should be performed for focal radiotherapy boost planning.",likert,3,2,3,Consensus disagree,,,d_tp_reject_adding_systematic_universal,multifocal_bilateral|intent_focal_boost,against,Table 3 (Q89a)
Q89,treatment_planning,34,Planning focal radiotherapy boost - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) + Bx of the area around the ROI + systematic Bx should be performed for focal radiotherapy boost planning.",likert,3,2,3,Consensus disagree,,,d_tp_reject_adding_systematic_universal,multifocal_bilateral|intent_focal_boost,against,Table 3 (Q89)
Q90,treatment_planning,34,Planning focal radiotherapy boost - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) + systematic Bx should be performed for focal radiotherapy boost planning.",likert,3,2,3,Consensus disagree,,,d_tp_reject_adding_systematic_universal,multifocal_bilateral|intent_focal_boost,against,Table 3 (Q90)
Q91a,treatment_planning,35,Planning ADT length - unifocal lesion,"In patients with a unifocal visible MRI lesion, targeted biopsy (Bx) ONLY is informative enough for ADT length planning.",likert,7,7,7,Consensus agree,,,d_tp_adt_duration_tbx_plbx,unifocal|intent_adt_duration,endorse,Table 3 (Q91a)
Q91,treatment_planning,35,Planning ADT length - unifocal lesion,"In patients with a unifocal visible MRI lesion, targeted biopsy (Bx) + Bx of the area around the ROI only is informative enough for ADT length planning.",likert,8,8,8,Consensus agree,,,d_tp_adt_duration_tbx_plbx,unifocal|intent_adt_duration,endorse,Table 3 (Q91)
Q92a,treatment_planning,35,Planning ADT length - unifocal lesion,"In patients with unifocal visible MRI lesion, targeted biopsy (Bx) + contralateral Bx should be performed for ADT length planning.",likert,4,2,5,Consensus to neither agree nor disagree,,,d_tp_adt_duration_tbx_plbx,unifocal|intent_adt_duration,conditional,Table 3 (Q92a)
Q92,treatment_planning,35,Planning ADT length - unifocal lesion,"In patients with unifocal visible MRI lesion, targeted biopsy (Bx) + Bx of the area around the ROI + contralateral systematic Bx should be performed for ADT length planning.",likert,3,3,3,Consensus disagree,,,d_tp_reject_adding_systematic_universal,unifocal|intent_adt_duration,against,Table 3 (Q92)
Q93,treatment_planning,35,Planning ADT length - unifocal lesion,"In patients with unifocal visible MRI lesion, targeted biopsy (Bx) + bilateral systematic Bx should be performed for ADT length planning.",likert,3,2,3,Consensus disagree,,,d_tp_reject_adding_systematic_universal,unifocal|intent_adt_duration,against,Table 3 (Q93)
Q94a,treatment_planning,36,Planning ADT length - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) ONLY is informative enough for ADT length planning.",likert,7,7,7,Consensus agree,,,d_tp_adt_duration_tbx_plbx,multifocal_bilateral|intent_adt_duration,endorse,Table 3 (Q94a)
Q94,treatment_planning,36,Planning ADT length - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) + Bx of the area around the ROI only is informative enough for ADT length planning.",likert,8,7,8,Consensus agree,,,d_tp_adt_duration_tbx_plbx,multifocal_bilateral|intent_adt_duration,endorse,Table 3 (Q94)
Q95a,treatment_planning,36,Planning ADT length - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) + contralateral Bx should be performed for ADT length planning.",likert,3,2,4,Consensus disagree,,,d_tp_reject_adding_systematic_universal,multifocal_bilateral|intent_adt_duration,against,Table 3 (Q95a)
Q95,treatment_planning,36,Planning ADT length - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) + perilesional Bx + systematic Bx should be performed for ADT length planning.",likert,2,2,2,Consensus disagree,,,d_tp_reject_adding_systematic_universal,multifocal_bilateral|intent_adt_duration,against,Table 3 (Q95)
Q96,treatment_planning,36,Planning ADT length - bilateral lesions,"In patients with bilateral visible MRI lesion, targeted biopsy (Bx) + systematic Bx should be performed for ADT length planning.",likert,2,2,2,Consensus disagree,,,d_tp_reject_adding_systematic_universal,multifocal_bilateral|intent_adt_duration,against,Table 3 (Q96)
